"id","frame_nmr","car_id","license_number","license_number_score","data_hora"
"1125670",233134,-1,"RFS6174","0.8470205664634705","2025-08-12 20:28:20.155024-03"
"1125671",233137,-1,"RFS6178","0.8414527177810669","2025-08-12 20:28:20.320906-03"
"1125672",233137,-1,"RFS6178","0.845931351184845","2025-08-12 20:28:20.486447-03"
"1125673",233138,-1,"RFS6172","0.8459843993186951","2025-08-12 20:28:20.664039-03"
"1125674",233139,-1,"RFS6178","0.8421133160591125","2025-08-12 20:28:21.022974-03"
"1125675",233139,-1,"RFS6174","0.8483659029006958","2025-08-12 20:28:21.190872-03"
"1125676",233140,-1,"RFS6178","0.8640088438987732","2025-08-12 20:28:21.350679-03"
"1125677",233140,-1,"RFS6174","0.8446225523948669","2025-08-12 20:28:21.526089-03"
"1125678",233142,-1,"RFS6172","0.8717593550682068","2025-08-12 20:28:22.025283-03"
"1125679",233157,-1,"RFS6172","0.8250381350517273","2025-08-12 20:28:22.895289-03"
