"id","frame_nmr","car_id","license_number","license_number_score","data_hora"
"1105634",1380952,-1,"GMF5740","0.9260256290435791","2025-08-11 10:10:17.611683-03"
"1105635",1380952,-1,"GMF5740","0.8958408236503601","2025-08-11 10:10:17.767424-03"
"1105636",1380953,-1,"GMF5740","0.9095145463943481","2025-08-11 10:10:17.929265-03"
"1105637",1380953,-1,"GMF5740","0.8737657070159912","2025-08-11 10:10:18.100872-03"
"1105638",1380954,-1,"GMF5740","0.9171547889709473","2025-08-11 10:10:18.270133-03"
"1105639",1380954,-1,"GMF5740","0.9321177005767822","2025-08-11 10:10:18.427936-03"
"1105640",1380955,-1,"GMF5740","0.9323073625564575","2025-08-11 10:10:18.589847-03"
"1105641",1380955,-1,"GMF5740","0.9051624536514282","2025-08-11 10:10:18.753667-03"
"1105642",1380956,-1,"GMF5740","0.9647747278213501","2025-08-11 10:10:18.924988-03"
"1105643",1380956,-1,"GMF5740","0.9595742225646973","2025-08-11 10:10:19.090627-03"
"1105644",1380957,-1,"GMF5740","0.9654919505119324","2025-08-11 10:10:19.244386-03"
"1105645",1380957,-1,"GMF5740","0.9472570419311523","2025-08-11 10:10:19.414194-03"
"1105646",1380958,-1,"GMF5740","0.9751229286193848","2025-08-11 10:10:19.585529-03"
"1105647",1380958,-1,"GMF5740","0.9583905339241028","2025-08-11 10:10:19.739307-03"
"1105648",1380959,-1,"GMF5740","0.9553501009941101","2025-08-11 10:10:19.90113-03"
"1105649",1380959,-1,"GMF5740","0.9692014455795288","2025-08-11 10:10:20.064902-03"
"1105650",1380961,-1,"GMF5740","0.9667849540710449","2025-08-11 10:10:20.234455-03"
"1105651",1380961,-1,"CMF5740","0.9237728118896484","2025-08-11 10:10:20.392252-03"
"1105652",1380962,-1,"GMF5740","0.9692237973213196","2025-08-11 10:10:20.554196-03"
"1105653",1380962,-1,"GMF5740","0.9501441121101379","2025-08-11 10:10:20.717816-03"
"1105654",1380963,-1,"GMF5740","0.9610277414321899","2025-08-11 10:10:20.934682-03"
